tripinfo_arrival;tripinfo_waitSteps;tripinfo_vType;tripinfo_depart;tripinfo_routeLength;tripinfo_vaporized;tripinfo_duration;tripinfo_arrivalSpeed;tripinfo_devices;tripinfo_departPos;tripinfo_departDelay;tripinfo_timeLoss;tripinfo_departLane;tripinfo_departSpeed;tripinfo_arrivalPos;tripinfo_rerouteNo;tripinfo_id;tripinfo_arrivalLane;personinfo_depart;personinfo_id;stop_arrival;walk_arrival;ride_arrival;ride_depart
97.00;0;passenger;3.00;705.56;;94.00;10.54;tripinfo_veh6 routing_veh6;5.10;-0.96;15.47;30598847#1_1;0.00;41.75;1;veh6;30417973#8_1;;;;;;
101.00;0;passenger;25.00;525.06;;76.00;10.66;tripinfo_veh39 routing_veh39;5.10;-0.71;15.46;30417206#7_1;0.00;49.58;1;veh39;177308054#7_1;;;;;;
115.00;0;passenger;13.00;712.69;;102.00;10.18;tripinfo_veh20 routing_veh20;5.10;-0.18;21.38;171674593#1_1;0.00;8.34;1;veh20;177338970_1;;;;;;
129.00;0;passenger;8.00;946.54;;121.00;10.22;tripinfo_veh13 routing_veh13;5.10;-0.57;22.98;37180734#2_1;0.00;56.21;1;veh13;30565218#0_1;;;;;;
136.00;0;passenger;15.00;1000.96;;121.00;11.07;tripinfo_veh24 routing_veh24;1.97;-0.82;15.83;181961188#3_1;0.00;0.20;1;veh24;175790476#2_2;;;;;;
143.00;3;passenger;73.00;422.94;;70.00;10.67;tripinfo_veh112 routing_veh112;5.10;-0.83;18.95;-268408771#1_1;0.00;23.06;1;veh112;171684933#2_1;;;;;;
149.00;0;passenger;58.00;606.10;;91.00;10.86;tripinfo_veh89 routing_veh89;5.10;-0.67;16.89;4526387#3_1;0.00;55.27;1;veh89;-30918556#1_1;;;;;;
153.00;0;passenger;85.00;465.76;;68.00;9.93;tripinfo_veh130 routing_veh130;5.10;-0.69;13.58;30533350#3_1;0.00;95.91;1;veh130;4526409#6_1;;;;;;
156.00;0;passenger;44.00;738.72;;112.00;9.85;tripinfo_veh68 routing_veh68;3.43;-0.82;24.24;266666409#0_1;0.00;26.00;1;veh68;30418072#1_1;;;;;;
157.00;0;passenger;96.00;438.59;;61.00;10.23;tripinfo_veh147 routing_veh147;5.10;-0.90;9.39;37180547#1_1;0.00;48.69;1;veh147;30533575#4_1;;;;;;
158.00;3;passenger;52.00;713.04;;106.00;10.78;tripinfo_veh80 routing_veh80;5.10;-0.73;29.69;37180984#2_1;0.00;13.36;1;veh80;-266666409#2_1;;;;;;
159.00;3;passenger;24.00;1236.13;;135.00;10.78;tripinfo_veh37 routing_veh37;5.10;-0.39;21.07;37722022_1;0.00;3.20;1;veh37;29019892#0_1;;;;;;
161.00;0;passenger;76.00;675.50;;85.00;10.04;tripinfo_veh116 routing_veh116;5.10;-0.47;8.00;304384082#1_1;0.00;157.09;1;veh116;30598950_0;;;;;;
163.00;0;passenger;12.00;1779.19;;151.00;12.72;tripinfo_veh19 routing_veh19;5.10;-0.52;23.64;324241987_1;0.00;20.79;1;veh19;-194799780#0_1;;;;;;
163.00;0;passenger;36.00;1067.73;;127.00;10.52;tripinfo_veh55 routing_veh55;5.10;-0.26;12.07;290617980#1_1;0.00;73.11;1;veh55;170268763_1;;;;;;
167.00;0;passenger;77.00;702.16;;90.00;10.74;tripinfo_veh118 routing_veh118;5.10;-0.78;14.82;29062008#9_1;0.00;78.53;1;veh118;38060291#5_1;;;;;;
168.00;0;passenger;117.00;409.78;;51.00;10.98;tripinfo_veh178 routing_veh178;5.10;-0.33;6.65;175790472#6_1;0.00;42.01;1;veh178;324752523_1;;;;;;
173.00;38;passenger;14.00;886.62;;159.00;5.07;tripinfo_veh22 routing_veh22;5.10;-0.50;67.41;-30567637#0_1;0.00;136.75;1;veh22;177308094#1_1;;;;;;
177.00;0;passenger;53.00;983.10;;124.00;13.46;tripinfo_veh81 routing_veh81;5.10;-0.39;23.03;171698588#4_1;0.00;41.07;1;veh81;324043275_1;;;;;;
183.00;24;passenger;75.00;604.82;;108.00;10.61;tripinfo_veh115 routing_veh115;5.10;-0.81;41.62;37383970_1;0.00;81.49;1;veh115;176910642_1;;;;;;
185.00;0;passenger;54.00;947.50;;131.00;10.71;tripinfo_veh83 routing_veh83;5.10;-0.71;24.34;38060288#6_1;0.00;28.22;1;veh83;30530306#1_1;;;;;;
190.00;36;passenger;25.00;996.92;;165.00;10.05;tripinfo_veh38 routing_veh38;5.10;-0.05;58.98;175999088#2_1;0.00;17.86;1;veh38;176910651#0_1;;;;;;
191.00;0;passenger;92.00;442.54;;99.00;10.05;tripinfo_veh140 routing_veh140;5.10;-0.29;22.23;37180733#1_0;0.00;29.65;1;veh140;-30534013#0_1;;;;;;
197.00;0;passenger;89.00;752.03;;108.00;10.83;tripinfo_veh136 routing_veh136;5.10;-0.65;17.60;175999131#1_1;0.00;42.85;1;veh136;30567551#3_2;;;;;;
198.00;0;passenger;1.00;1607.31;;197.00;9.95;tripinfo_veh2 routing_veh2;5.10;-0.32;27.39;37383981#1_1;0.00;22.01;1;veh2;-30529779#2_1;;;;;;
201.00;0;passenger;86.00;819.09;;115.00;10.87;tripinfo_veh131 routing_veh131;5.10;-0.35;23.25;30598946#1_1;0.00;21.80;1;veh131;-171697946_1;;;;;;
202.00;22;passenger;1.00;1271.78;;201.00;10.84;tripinfo_veh3 routing_veh3;5.10;-0.98;63.35;194799782#0_1;0.00;59.45;1;veh3;-180762426_1;;;;;;
202.00;0;passenger;84.00;927.53;;118.00;10.57;tripinfo_veh128 routing_veh128;5.10;-0.38;18.45;181961188#1_1;0.00;97.92;1;veh128;103992207#1_1;;;;;;
204.00;3;passenger;19.00;1330.82;;185.00;9.83;tripinfo_veh30 routing_veh30;5.10;-0.78;43.09;30416961#1_1;0.00;17.75;1;veh30;324751734#2_1;;;;;;
205.00;0;passenger;20.00;2108.90;;185.00;11.05;tripinfo_veh31 routing_veh31;5.10;-0.43;23.91;37180727#5_1;0.00;45.99;1;veh31;33175453#2_1;;;;;;
208.00;0;passenger;61.00;1079.06;;147.00;10.78;tripinfo_veh93 routing_veh93;5.10;-0.30;34.68;172021657#1_1;0.00;12.73;1;veh93;38060278_1;;;;;;
208.00;2;passenger;23.00;2278.42;;185.00;11.04;tripinfo_veh36 routing_veh36;5.10;-0.73;37.40;30598948#3_1;0.00;10.74;1;veh36;221265721#2_1;;;;;;
208.00;0;passenger;83.00;742.57;;125.00;2.22;tripinfo_veh127 routing_veh127;5.10;-0.72;27.27;37351624_1;0.00;73.40;1;veh127;37376903_0;;;;;;
210.00;0;passenger;55.00;1137.34;;155.00;10.57;tripinfo_veh84 routing_veh84;5.10;-0.37;32.30;266666374#0_1;0.00;44.42;1;veh84;338958023_1;;;;;;
214.00;0;passenger;156.00;375.90;;58.00;10.73;tripinfo_veh238 routing_veh238;5.10;-0.89;11.54;169017784#4_1;0.00;14.23;1;veh238;175999092#2_1;;;;;;
214.00;1;passenger;88.00;910.88;;126.00;10.81;tripinfo_veh134 routing_veh134;5.10;-0.33;29.67;-324991230_1;0.00;217.53;1;veh134;-324985147#0_1;;;;;;
219.00;0;truck;15.00;1605.21;;204.00;11.03;tripinfo_truck2 routing_truck2;7.20;-0.82;34.77;37383981#1_1;0.00;22.01;1;truck2;-30529779#2_1;;;;;;
219.00;0;passenger;2.00;1806.27;;217.00;9.93;tripinfo_veh4 routing_veh4;5.10;-0.64;25.59;169015057#1_1;0.00;27.14;1;veh4;30416739#3_1;;;;;;
219.00;0;passenger;39.00;1503.45;;180.00;10.84;tripinfo_veh60 routing_veh60;5.10;-0.55;28.24;-103992207#0_1;0.00;68.99;1;veh60;181961195#1_1;;;;;;
220.00;0;passenger;81.00;1046.19;;139.00;10.10;tripinfo_veh124 routing_veh124;5.10;-0.74;31.63;69730786#0_1;0.00;57.46;1;veh124;69221692#5_1;;;;;;
223.00;0;truck;94.00;944.44;;129.00;10.91;tripinfo_truck12 routing_truck12;7.20;-0.92;30.81;37180734#2_1;0.00;56.21;1;truck12;30565218#0_1;;;;;;
223.00;22;passenger;87.00;829.38;;136.00;6.91;tripinfo_veh132 routing_veh132;0.20;-0.01;46.08;37174488#3_1;0.00;3.20;1;veh132;180328745#0_1;;;;;;
228.00;0;passenger;133.00;601.27;;95.00;10.42;tripinfo_veh202 routing_veh202;5.10;-0.16;18.38;-56026350#2_1;0.00;86.11;1;veh202;-180135573#1_1;;;;;;
229.00;0;passenger;106.00;813.17;;123.00;11.00;tripinfo_veh162 routing_veh162;5.10;-0.79;24.32;33128045#3_1;0.00;44.48;1;veh162;-324751745_1;;;;;;
231.00;0;passenger;79.00;2137.91;;152.00;10.76;tripinfo_veh120 routing_veh120;5.10;-0.10;24.03;171698588#6_1;0.00;10.74;1;veh120;221265721#2_1;;;;;;
232.00;0;passenger;177.00;388.12;;55.00;10.96;tripinfo_veh270 routing_veh270;5.10;-0.98;12.03;-324751748#6_1;0.00;28.85;1;veh270;4526387#2_1;;;;;;
233.00;0;passenger;112.00;929.83;;121.00;10.17;tripinfo_veh171 routing_veh171;5.10;-0.72;21.62;38060296#1_1;0.00;217.53;1;veh171;-324985147#0_1;;;;;;
235.00;0;passenger;28.00;2848.09;;207.00;13.20;tripinfo_veh43 routing_veh43;0.44;-0.34;21.59;-279549607_1;0.00;89.81;1;veh43;-194799781#1_1;;;;;;
241.00;31;passenger;47.00;1221.04;;194.00;10.54;tripinfo_veh72 routing_veh72;5.10;-0.46;64.05;101940018_1;0.00;28.58;1;veh72;181737750#3_1;;;;;;
242.00;0;passenger;81.00;1416.41;;161.00;10.97;tripinfo_veh123 routing_veh123;5.10;-0.08;25.32;-266666414_1;0.00;37.03;1;veh123;285267650#0_1;;;;;;
243.00;0;passenger;4.00;1824.98;;239.00;9.85;tripinfo_veh7 routing_veh7;5.10;-0.61;38.57;169017784#4_1;0.00;51.21;1;veh7;30533904#1_1;;;;;;
245.00;63;passenger;21.00;1267.01;;224.00;10.96;tripinfo_veh33 routing_veh33;5.10;-0.75;84.57;177308060#3_1;0.00;1.18;1;veh33;177308063_1;;;;;;
247.00;7;passenger;70.00;1638.44;;177.00;10.50;tripinfo_veh107 routing_veh107;5.10;-0.53;40.32;39958266#3_1;0.00;52.72;1;veh107;30533523#5_1;;;;;;
253.00;10;passenger;33.00;1505.58;;220.00;10.77;tripinfo_veh51 routing_veh51;0.20;-0.62;53.28;175999092#3_1;0.00;54.28;1;veh51;30918556#1_1;;;;;;
256.00;0;passenger;214.00;330.43;;42.00;11.00;tripinfo_veh326 routing_veh326;5.10;-0.89;7.41;142487124_1;0.00;0.20;1;veh326;175790488_1;;;;;;
257.00;0;passenger;57.00;2370.85;;200.00;10.50;tripinfo_veh87 routing_veh87;5.10;-0.35;23.88;194799786#0_1;0.00;9.02;1;veh87;290617321#0_1;;;;;;
259.00;0;passenger;30.00;1765.29;;229.00;10.46;tripinfo_veh46 routing_veh46;5.10;-0.32;42.82;-266666363_1;0.00;28.53;1;veh46;202278346#0_1;;;;;;
259.00;0;passenger;38.00;3308.73;;221.00;10.54;tripinfo_veh59 routing_veh59;0.20;-0.89;21.41;326910420_1;0.00;79.18;1;veh59;30417335#1_1;;;;;;
261.00;0;passenger;162.00;800.18;;99.00;9.86;tripinfo_veh246 routing_veh246;5.10;-0.16;11.07;-324991232_1;0.00;24.22;1;veh246;29019892#6_1;;;;;;
261.00;0;passenger;18.00;2222.04;;243.00;11.09;tripinfo_veh28 routing_veh28;5.10;-0.46;32.36;-37180740#0_1;0.00;23.91;1;veh28;200916233#1_1;;;;;;
262.00;0;truck;32.00;1804.17;;230.00;9.56;tripinfo_truck4 routing_truck4;7.20;0.36;39.07;169015057#1_1;0.00;27.14;1;truck4;30416739#3_1;;;;;;
269.00;33;passenger;112.00;893.49;;157.00;10.50;tripinfo_veh170 routing_veh170;5.10;-0.06;59.57;4526354#3_1;0.00;45.81;1;veh170;30417755#3_1;;;;;;
271.00;0;passenger;85.00;1457.15;;186.00;13.61;tripinfo_veh129 routing_veh129;5.10;-0.03;33.44;37180463#3_1;0.00;58.82;1;veh129;324751768_1;;;;;;
271.00;0;passenger;75.00;1779.90;;196.00;10.82;tripinfo_veh114 routing_veh114;5.10;-0.15;24.15;171698525#1_1;0.00;1165.95;1;veh114;-324994585_1;;;;;;
273.00;0;passenger;111.00;1580.68;;162.00;11.02;tripinfo_veh169 routing_veh169;5.10;-0.40;23.41;30567551#3_2;0.00;42.17;1;veh169;230844223#2_1;;;;;;
275.00;0;passenger;126.00;1593.92;;149.00;9.57;tripinfo_veh192 routing_veh192;5.10;-0.56;18.01;-103992207#0_1;0.00;1.30;1;veh192;177308121_1;;;;;;
276.00;1;passenger;40.00;2195.30;;236.00;11.00;tripinfo_veh61 routing_veh61;5.10;-0.21;37.47;-180082654_1;0.00;20.93;1;veh61;38060282_1;;;;;;
277.00;0;passenger;30.00;3240.91;;247.00;10.84;tripinfo_veh47 routing_veh47;5.10;-0.98;37.09;69221704_1;0.00;43.79;1;veh47;30417206#6_1;;;;;;
280.00;1;truck;158.00;884.52;;122.00;10.94;tripinfo_truck20 routing_truck20;7.20;-0.20;30.00;-30567637#0_1;0.00;136.75;1;truck20;177308094#1_1;;;;;;
282.00;45;passenger;100.00;1081.76;;182.00;10.19;tripinfo_veh153 routing_veh153;5.10;-0.86;65.14;32761348#3_1;0.00;16.33;1;veh153;37383981#1_1;;;;;;
283.00;0;passenger;48.00;2144.49;;235.00;9.89;tripinfo_veh73 routing_veh73;5.10;-0.12;33.62;69221692#7_1;0.00;41.32;1;veh73;30993606#5_1;;;;;;
287.00;0;passenger;160.00;821.32;;127.00;11.07;tripinfo_veh243 routing_veh243;5.10;-0.18;26.14;30533820#3_1;0.00;23.01;1;veh243;-180241128_1;;;;;;
290.00;0;passenger;209.00;560.79;;81.00;10.09;tripinfo_veh318 routing_veh318;5.10;-0.62;17.68;30417335#2_1;0.00;43.05;1;veh318;180762421_1;;;;;;
291.00;0;passenger;129.00;1196.70;;162.00;10.47;tripinfo_veh196 routing_veh196;4.90;-0.20;39.12;266666376_1;0.00;156.70;1;veh196;37501151#6_1;;;;;;
